83817_H07	-0.0278	0.0061	0.0113	-0.0003	-0.0054	-0.0052	-0.002	0.0063	-0.012	-0.0033	Italy	South
83817_H08	-0.0212	0.0	0.0061	-0.0	-0.0005	0.007	0.0055	-0.0097	-0.0075	-0.013	Italy	South
83817_H09	-0.0161	0.0044	0.0003	0.0037	-0.0006	0.007	0.0029	-0.0348	-0.0057	-0.0111	Italy	South
83817_H10	-0.0302	0.0029	0.0137	-0.0086	0.0221	0.0213	-0.004	-0.003	0.0126	0.0065	Italy	South
83817_H11	-0.0194	0.0007	0.0104	0.0017	0.0002	0.0093	0.0006	0.0115	-0.0035	-0.0004	Italy	South
83817_H12	-0.0232	0.0016	0.0029	-0.0079	-0.0131	0.0009	-0.0096	-0.0207	0.0085	-0.0094	Italy	South
83818_A01	-0.0229	0.0036	0.0053	-0.0028	-0.0075	-0.0054	0.013	-0.0049	-0.0148	-0.0175	Italy	South
83818_A02	-0.0175	0.0048	0.0043	0.0009	0.0023	0.0053	-0.0089	0.0169	0.0089	0.0108	Italy	South
83818_A03	-0.019	0.0008	0.0053	0.0053	0.0077	0.0127	0.0153	-0.0075	0.005	-0.0074	Italy	South
83818_A04	-0.0321	0.0137	0.0066	-0.0155	-0.0225	-0.0084	-0.0022	-0.0135	-0.0073	-0.0093	Italy	South
83818_A05	-0.0011	-0.0022	0.0015	0.0084	0.0043	0.0037	0.0255	-0.0042	0.0078	-0.0072	Germany	Central
83818_A07	0.001	-0.0026	0.0053	0.0094	0.0054	-0.0082	-0.0007	-0.0236	0.0042	-0.0023	Germany	Central
