id	pop	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	group
103969_C07	Belgium	-0.0004	0.0012	-0.0009	-0.0069	-0.0007	-0.0046	-0.0052	-0.0105	-0.0021	-0.0123	West
103969_C09	Italy	-0.0214	-0.0009	-0.0072	0.0002	-0.0013	-0.0007	-0.0134	-0.0038	0.0023	-0.0018	South
103969_C10	GNG	0.0064	0.0079	-0.0012	-0.0083	0.0052	-0.0066	-0.0021	-0.007	0.0035	-0.009	Central
103969_C11	Germany	-0.0328	-0.0248	-0.0171	0.0172	0.0363	0.0531	-0.0117	-0.0025	0.0114	0.0003	Central
103969_C12	Germany	0.004	-0.0149	0.023	-0.0051	-0.0007	-0.0029	0.0147	0.0026	0.0028	0.0001	Central
103969_D01	Denmark	0.0075	0.002	-0.006	-0.0087	0.0079	-0.0109	-0.0066	0.0075	-0.0019	-0.0005	North
103969_D02	Belgium	-0.0005	0.0052	0.0018	-0.0031	-0.005	-0.0077	0.0062	0.0004	0.0031	-0.0081	West
103969_D03	Belgium	-0.0027	0.004	-0.0074	-0.0088	0.0037	-0.0045	-0.0063	0.0074	0.0011	0.0004	West
103969_D04	Belgium	0.0001	0.0039	-0.0046	-0.0097	0.0054	-0.0124	-0.0014	-0.0051	-0.0042	0.013	West
103969_D05	Belgium	-0.0008	0.0037	-0.0026	-0.0097	0.0067	-0.0083	-0.0115	0.0126	0.0057	0.0035	West
103969_D06	Belgium	-0.0032	0.0037	-0.0008	-0.0063	-0.0014	0.0077	-0.002	0.0066	-0.0055	0.0056	West
103969_D07	Belgium	-0.0053	0.0027	-0.0008	-0.0082	-0.0064	-0.0062	-0.0044	-0.004	0.0117	-0.0008	West
103969_D08	Belgium	-0.0028	0.0007	-0.0003	-0.0086	-0.0003	-0.001	-0.0065	0.0005	-0.0006	-0.0085	West
103969_D09	Germany	-0.0002	-0.0005	0.0058	-0.006	0.014	-0.0042	0.0009	0.0031	-0.0011	0.0006	Central
103969_D10	Germany	-0.0058	0.0018	-0.0013	-0.0171	0.0038	-0.0038	-0.0053	-0.0101	0.0007	0.0048	Central
103969_D11	Germany	0.0006	-0.0095	0.0051	-0.0064	0.0038	-0.0004	-0.0056	-0.0049	0.0006	0.0107	Central
103969_E01	Spain	-0.0128	0.0086	0.0057	0.0076	-0.0219	-0.0111	0.0104	-0.0002	-0.0083	0.002	West
103969_E02	Belgium	0.0023	0.0045	-0.0089	-0.0104	0.0064	-0.0028	-0.0039	-0.006	-0.0014	0.0011	West
103969_E03	Belgium	-0.0049	0.0063	-0.0007	-0.0059	-0.0003	-0.0141	-0.0027	0.0007	-0.0016	-0.0005	West
103969_E04	Belgium	-0.002	0.0052	-0.0073	-0.0037	-0.0056	-0.0097	-0.0065	-0.0024	0.0025	-0.0076	West
103969_E05	Belgium	0.0002	0.0063	-0.0022	-0.0045	0.0029	-0.0138	-0.0042	-0.0059	0.0001	0.0011	West
103969_E06	Belgium	0.0004	0.001	0.0014	-0.0103	-0.0011	-0.0057	0.0004	-0.0067	-0.0133	-0.0014	West
103969_E07	Belgium	-0.0021	0.0044	-0.0002	-0.0134	0.0003	-0.0072	-0.0058	-0.0018	-0.0037	0.0049	West
103969_E08	Belgium	-0.0026	0.0051	-0.0038	-0.0077	0.0056	0.0008	0.0036	-0.0076	-0.0082	-0.0052	West
103969_E09	Germany	0.0055	-0.013	0.022	-0.004	0.0039	-0.003	0.0066	0.0111	-0.0009	0.0038	Central
